;;"TAIYO NISSHIN VIETNAM CO.,LTD
 太陽日新ベトナム株式会社";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BÁO CÁO KẾT QUẢ KIỂM HÀNG
検品 結 果 報 告 書";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KHÁCH HÀNG 取引先名:ガードナー㈱;;;;;;;;;;;;;;;;;;;;;;;;;;検品日(Ngày kiểm hàng):    2026.02.03-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NHÀ MÁY工場名: TAN PHUOC AN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mã hàng
品番";BR-1120;;;;;"Tên hàng
品名";;JK;;;;;;"Nơi kiểm hàng
検品場所";;;;;;;TAN PHUOC AN;;;;;"Người phụ trách
担当者";;;KAORI;;;;;"Tổ trưởng
リーダー";;;HẰNG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"カラー
Màu sắc";"サイズ
Kích cỡ";KẾT QUẢ KIỂM TRA LẤN 1/ 一次検査結果;;;;;;;;;;;;;;;;;;;KẾT QUẢ TÁI KIỂM/ 再検品結果;;;;;;;;;;;;;;;"最終検査結果
Kết quả cuối cùng";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"一次検 査 数
Số sp kiểm tra lần 1";"一次（Ａ品)良品数
 Số sp (A) đạt lần 1";"（Ｂ品) 不良品数
Số sp lỗi (hàng B)";"不良品（Ｂ品）理由別明細　＜補修⇒再検品（二次検査）
Chi tiết sản phẩm bị lỗi B(sửa chữa ==> kiểm tra lần 2)";;;;;;;;;;;;;;;;"一次＋二次再検査数
Số sp tái kiểm lần 1 + 2";"良品再検品数 
Số sp tái đạt";"一次＋二次不良品再検品数
Số sp lỗi tái lần 1 + 2";"不良品再検品明細　
Chi tiết lỗi tái kiểm";;;;;;;;;;;"（Ｃ品　再検品不良品全数)
Tổng số sp tái không đạt (hàng C)";"（Ａ品）良品数
Tổng hàng A ";"オーダー数量
Số lượng order";"パッキンリストの出荷数
SL xuất hàng　theo Packing list";"残数
SL tồn";"不良品率
Tỉ lệ sp lỗi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;"破れ・穴
Rách, lỗ";付属取付(サイズ付け間違いました)Gắn phụ kiện;"縫製不良
lỗi may";"点黒い汚れ
thâm kim";"縫い止め無し
thiếu chốt";"左右対称不良
so le";"閂無い
thiếu bọ";"生地アタリ.ｷｽﾞ
Cấn vải, xước vải";"寸法不良
Thông số";"汚れ(油)
Dơ";"色間い
Khác màu.";"飛び込み
Sợi màu";"刺繍不良
 Lôi thêu";"糸切れ、目飛び
đứt chỉ, bỏ mũi";"パンク
xì";"
その他(わじみ)
lỗi khác";;;;"破れ・穴
Rách, lỗ";"付属取付
Gắn phụ kiện";"縫　製
Lỗi may";"In, thêu
印刷、刺繍不良";"生地不良
Vải bị lỗi";"生地アタリ
Cấn vải";"寸法不良
Thông số";"Lỗi ủi
アイロン不良";"汚れ
Dơ";"色間い
Khác màu";"他の
Khác ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KW;3S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;;0;#DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;;;0;#DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
